"FİRMA ADI","TELEFON","FAKS","WEBSİTE","E-POSTA","ADRES","LOGO"
"3DWOVENS KOMPOZİT LİMİTED ŞİRKETİ","0 (212) 639 47 49","www.3dwovens.com","info@3dwovens.com","Yenibosna Merkez Mahallesi, Yalçın Koreş Caddesi, Kor Sokak, No 9 Bahçelievler/ İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/3_D.jpg"
"AAES İLERİ MÜH. SAN. VE TİC. LTD. ŞTİ.","0 (312) 394 82 84","www.aaes.com.tr","info@aaes.com.tr","IVOGSAN Özanadolu San. Sitesi 1455. Cad. No:1506374 OSTİM-Ankara","https://sahaistanbul.org.tr/imgs/300x200x2/AAES_YLERY_MUH._SAN._VE_TYC._LTD._YTY..jpg"
"Abramak Bilgi Teknolojileri Sanayi Ticaret A.Ş","0 (216) 504 73 06","abramakbilisim.com","info@abramakbilisim.com","Sanayi Mah. Teknokent bulvarı 9a blok no:106 Pendik İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/BaYlYksYz-4.jpg"
"ADER SAVUNMA SAN. VE TİC. A.Ş.","0 (312) 502 06 00","www.adersavunma.com.tr","info@adersavunma.com.tr","Anadolu O.S.B. 4. Cadde No:4 Malıköy Sincan/ANKARA","https://sahaistanbul.org.tr/imgs/300x200x2/ADER_SAVUNMA_SAN._VE_TYC._A.Y..jpg"
"ADF MÜHENDİSLİK DANIŞMANLIK VE TİCARET LTD.ŞTİ.","0 (212) 367 49 77","www.adfmuhendislik.com","info@adfmuhendislik.com","Büyükdere Cad. Kırgülü Sk. No:4 Metrocity İş Merkezi D Blok K:4, 34394 Levent/İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/ADF_MUHENDYSLYK_DANIYMANLIK_VE_TYCARET_LTD.YTY..jpg"
"ADVENS MÜHENDİSLİK A.Ş.","0 (216) 515 39 61","http://advens.com.tr/","info@advens.com.tr","SANAYİ MH. TEKNOPARK BLV. TEKNOPARK 1C-2C BLOK 1/1C DIŞ KAPI 1.KAT 1106-1107 İÇ KAPI PENDİK / İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/ADVENS_MUHENDYSLYK_A.Y..jpg"
"AFS HASSAS DÖKÜM SAN. TİC. LTD. ŞTİ.","0 (216) 504 01 40","www.afshassasdokum.com","bulent@afs-tr.com","İstanbul Deri OSB Kazlıçeşme Caddesi, No:49 R3 özel parsel Tuzla - İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/AFS_HASSAS_DOKUM_SAN._TYC._LTD._YTY._1.jpg"
"AGENA BİLİŞİM VE SAVUNMA TEKNOLOJİLERİ SAN.TİC. LTD. ŞTİ.","0 (216) 457 34 57","www.agenabst.com","genc@agenabst.com","Teknopark İstanbul, Sanayi Mah. Teknopark Bulvarı No:1/2 A 103 Pendik İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/AGENA_BYLYYYM_VE_SAVUNMA_TEKNOLOJYLERY_SAN.TYC._LTD._YTY..jpg"
"AĞTEKS ÖRME VE TEKSTİL ENDÜSTRİSİ SAN.VE TİC.LTD.ŞTİ.","0 (212) 501 22 26","www.agteks.com","info@agteks.com","BOSB Bakircilar San. Sit. Orkide Cd. 5/7, 34524, Beylikduzu Istanbul","https://sahaistanbul.org.tr/imgs/300x200x2/AYTEKS_ORME_VE_TEKSTYL_ENDUSTRYSY_SAN.VE_TYC.LTD.YTY..jpg"
"AHİM OTO İNŞ. MAK. MÜH. TİC.LTD.ŞTİ.","0 (216) 442 61 40","www.www.ahimmekanik.com","","BAĞLARBAŞI MAH. ŞAHİN SK. NO:6 GÖKSU PLAZA KAT:3 MALTEPE/İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/AHYM_OTO_YNY._MAK._MUH._TYC.LTD.YTY..jpg"
"AK DÖKÜM SANAYİ TİC. LTD. ŞTİ.","0 (262) 335 02 43"," www.akdokumltd.com","akdokum@akdokumltd.com","Sanayi Sitesi B blok 204- No: 37/38 İzmit Kocaeli","https://sahaistanbul.org.tr/imgs/300x200x2/AK_DOKUM_SANAYY_TYC._LTD._YTY..jpg"
"AKAR ASANSÖR MOTOR MAKİNA SAN. LTD. ŞTİ.","0 (212) 723 86 78","www.akarasansor.com","info@akarasansor.com","Selimpaşa Mah. 5006 Sok. No:18 Silivri-İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/AKAR_ASANSOR_MOTOR_MAKYNA_SAN._LTD._YTY..jpg"
"AKAR MAKİNA SANAYİ VE TİCARET A.Ş.","0 (222) 236 17 00","www.akarmak.com.tr","info@akarmak.com.tr","OSB 14. Cadde No: 8, 26110 Eskişehir","https://sahaistanbul.org.tr/imgs/300x200x2/AKAR_MAKYNA_SANAYY_VE_TYCARET_A.Y..jpg"
"AKBA HAVACILIK KİMYA SAN. VE TİC. LTD. ŞTİ.","0 (212) 485 83 74","www.akbakimya.com.tr","info@akbakimya.com.tr","İKİTELLİ ORGANİZE SAN. BÖLG. ÇORAPÇILAR SAN. SİT. F BLOK NO: 21 BAŞAKŞEHİR-İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/AKBA_HAVACILIK_KYMYA_SAN._VE_TYC._LTD._YTY..png"
"AKIM METAL SAN VE TİC. A.Ş.","0 (216) 593 19 90","www.akimmetal.com.tr","bilgi@akimmetal.com.tr","İstanbul Anadolu Yakası Organize San. Bölgesi 2. Sanayi Cad. No:7 Tuzla İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/AKIM_METAL_SAN_VE_TYC._A.Y..jpg"
"AKKAR SİLAH SAN. VE TİC. LTD. ŞTİ.","0 (216) 394 43 64","www.akkar.com.tr","akkar@akkar.com.tr","Orhanlı Mah. Anıt Sok. No:21 Tuzla-İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/AKKAR_SYLAH_SAN._VE_TYC._LTD._YTY..jpg"
"AKSA MOTOR FAN TURİZM SANAYİ LİMİTED ŞİRKETİ","0 (212) 723 74 00","www.aksamotorfan.com","info@aksamotorfan.com","ARAPTEPE MEVKİİ SANAYİ BÖLGESİ 5006 SOKAK NO:10 SELİMPAŞA SİLİVRİ İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/AKSA_MOTOR_FAN_TURYZM_SANAYY_LYMYTED_YYRKETY.jpg"
"Aktif Güç Elemanları San. ve Tic. Ltd. Şti.","0 (264) 276 64 50","www.aktif.net","info@aktif.net","Pirahmetler mh. D-100 Yanyol cd. 78/A Erenler 54200 Sakarya / TURKEY","https://sahaistanbul.org.tr/imgs/300x200x2/Aktif_Guc_ElemanlarY_San._ve_Tic._Ltd._Yti._1.jpg"
"Aktif Mühendislik Dış Tic. A.Ş.","0 (216) 314 93 20","www.aktif.net","info@aktif.net","Şerifali Mahallesi Bayraktar Bulvarı Şehit Sokak No:5 Ümraniye 34775 İstanbul / TURKEY","https://sahaistanbul.org.tr/imgs/300x200x2/Aktif_Muhendislik_DYY_Tic._A.Y..jpg"
"AKTİF SAVUNMA SANAYİ LTD.ŞTİ.","0 (212) 292 50 16","www.aksav.com.tr","info@aksav.com.tr","KEMERALTI CAD. ŞEFKAT İŞ MERKEZİ No:1 K:5 KARAKÖY/İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/AKTYF_SAVUNMA_SANAYY_LTD.YTY..jpg"
"AKYÜZLÜ DÖVME VE KALD.EKP.SAN.TİC.LTD.ŞTİ","0 (262) 290 87 91","www.akyuzlu.com.tr","yunus@akyuzlu.com.tr","ÇERKEŞLİ OSB MAHALLESİ İMES ORG.SAN.BÖLGESİ 2. CADDE NO 10 DİLOVASI KOCAELİ","https://sahaistanbul.org.tr/imgs/300x200x2/AKYUZLU_DOVME_VE_KALD.EKP.SAN.TYC.LTD.YTY.jpg"
"ALAPALA MAKİNE GIDA SAN. VE TİC A.Ş","0 (364) 254 95 60","www.alapala.com","info@alapala.com","EGS BUSINESS PARK, B3 BLOK , KAT 14 NO: 427-430 YEŞİLKÖY 34149 İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/alapala.jpg"
"ALKIN KOMPRESÖR SAN. VE TİC. LTD.ŞTİ.","0 (232) 782 22 90","www.alkin.com.tr","alkin@alkin.com.tr","Cüneytbey Mah. Tabaş Yolu Küme Evleri No:3 Menderes İZMİR","https://sahaistanbul.org.tr/imgs/300x200x2/ALKIN_KOMPRESOR_SAN._VE_TYC._LTD.YTY..jpg"
"Alloya teknoloji bilişim ticaret A.Ş.","0 (554) 847 72 16","www.alloyadditive.com","info@alloyadditive.com","Sanayi mahallesi Teknopark Bulvarı No:1/4C İç kapı no:Z08 Pendik/İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/Alloy.jpg"
"ALMESAN ALÜMİNYUM SAN. VE TİC. A.Ş.","0 (216) 419 67 62","www.almesan.com.tr","info@almesan.com.tr","Akpınar Mah. Kanuni Cad. No:6 Sancaktepe İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/ALMESAN_ALUMYNYUM_SAN._VE_TYC._A.Y..png"
"ALMETAL ALÜMİNYUM SANAYİ VE TİCARET ANONİM ŞİRKETİ","0 (332) 582 88 54","www.almetalaluminyum.com.tr","info@almetalaluminyum.com.tr","Alaylar 2 Mah. 152332 Sok. No:1 Konya","https://sahaistanbul.org.tr/imgs/300x200x2/ALMETAL_ALUMYNYUM_SANAYY_VE_TYCARET_ANONYM_YYRKETY.jpg"
"Alp Otomasyon Bilgi Teknolojileri Mühendislik Gıda Tekstil.San.Tic.Ltd. Şti","0 (236) 236 34 45","alp-muhendislik.com.tr","info@alp-muhendislik.com.tr","Güzelyurt mh. 5754 Sk. No:15/A yunusemre-Manisa","https://sahaistanbul.org.tr/imgs/300x200x2/Alp_Otomasyon_Bilgi_Teknolojileri_Muhendislik_GYda_Tekstil.San.Tic.Ltd._Yti..jpg"
"ALPHA ISIL İŞLEM SANAYİ VE TİCARET A.Ş.","0 (332) 503 02 88","www.aht.com.tr","pha@aht.com.tr","Fevzi Çakmak Mah. Medcezir Cad. No:25/1 42050 Karatay-Konya","https://sahaistanbul.org.tr/imgs/300x200x2/ALPHA_ISIL_YYLEM_SANAYY_VE_TYCARET_A.Y..jpg"
"Alpha Metalurji A.Ş","0 (216) 377 83 41","www.tamcelik.com","sibel@tamcelik.com","muş sokak no.4 soğanlık kartal istanbul","https://sahaistanbul.org.tr/imgs/300x200x2/alpha_1.jpg"
"ALPPLAS ENDÜSTRİYEL YATIRIMLAR A.Ş.","0 (212) 876 27 90","www.alpplas.com","tufan.oney@alpplas.com","Mermerciler Sanayi Sit. 4. Cad. No: 16 Beylikdüzü / İSTANBUL","https://sahaistanbul.org.tr/imgs/300x200x2/ALPPLAS_ENDUSTRYYEL_YATIRIMLAR_A.Y..png"
"Altan Hidrolik Mühendislik Sanayi ve Ticaret A.Ş.","0 (216) 593 33 00","www.altanhidrolik.com.tr","info@altanhidrolik.com.tr","Orta Mah. Üniversite Cad. No:33 34956 Orhanlı/Tuzla/İST","https://sahaistanbul.org.tr/imgs/300x200x2/Altan_Hidrolik_Muhendislik_Sanayi_ve_Ticaret_A.Y._1.jpg"
"ALTEK METAL SAN. VE TİC. A.Ş.","0 (212) 306 60 60","www.altekmetal.com.tr","aluminyum@altek.com.tr","Büyükdere Cad. No:122 A Blk. K:2 34394 Esentepe-İstanbul","https://sahaistanbul.org.tr/imgs/300x200x2/ALTEK_METAL_SAN._VE_TYC._A.Y..jpg"
"ALTIGEN UZAY HAVACILIK GEMİ İNŞ. PAN. SAN. LTD. ŞTİ.","0 (332) 334 01 55","www.6genpanel.com.tr","info@6genpanel.com.tr","Tatlicak Mah. Saadet Cad. 35/J Karatay / KONYA","https://sahaistanbul.org.tr/imgs/300x200x2/ALTIGEN_UZAY_HAVACILIK_GEMY_YNY._PAN._SAN._LTD._YTY..jpg"
